iri,name
https://linked.data.gov.au/def/object-condition,Object Condition
https://linked.data.gov.au/def/object-material,Object Material
https://linked.data.gov.au/def/population-zone,Population Zone
https://linked.data.gov.au/def/positional-accuracy,Positional Accuracy
https://linked.data.gov.au/def/qesd-qkd,Queensland Environmental Science Data Profile of QUDT Quantity Kinds
https://linked.data.gov.au/def/qesd-uom,Queensland Environmental Science Data Profile of QUDT Units
https://linked.data.gov.au/def/qg-agent,Queensland Government Organisations
https://linked.data.gov.au/def/qg-security-classifications,Queensland Government Information Security Classifications
https://linked.data.gov.au/def/qg-sites,Queensland Government Offices
https://linked.data.gov.au/def/qld-data-licenses,Queensland Government Software and Data Licenses
https://linked.data.gov.au/def/qld-obsprop,Queensland Environmental Science Data Observed Properties
https://linked.data.gov.au/def/record-access,Record Access
https://linked.data.gov.au/def/resource-types,DataCite Resource Types
https://linked.data.gov.au/def/retention-status,Retention Status
https://linked.data.gov.au/def/road-cadastral-relationship,Road Cadastral Relationship
https://linked.data.gov.au/def/road-classifications,Road Classifications
https://linked.data.gov.au/def/road-geometry-notes,Road Geometry Notes
https://linked.data.gov.au/def/road-lane-count,Road Lane Count
https://linked.data.gov.au/def/road-maintainer,Road Maintainer
https://linked.data.gov.au/def/road-name-part-types,Road Name Part Types
https://linked.data.gov.au/def/road-operational-statuses,Road Operational Statuses
https://linked.data.gov.au/def/road-owner,Road Owner
https://linked.data.gov.au/def/road-seasonality,Road Seasonality
https://linked.data.gov.au/def/road-sub-classes,Road Sub-Classes
https://linked.data.gov.au/def/road-suffixes,Road Suffixes
https://linked.data.gov.au/def/road-surfaces,Road Surfaces
https://linked.data.gov.au/def/road-trafficability,Road Trafficability
https://linked.data.gov.au/def/road-travel-direction,Road Travel Direction
https://linked.data.gov.au/def/road-types,Road Types
https://linked.data.gov.au/def/road-user-access,Road User Access
https://linked.data.gov.au/def/rock-unit-rank,Rock Unit Rank
https://linked.data.gov.au/def/scr-indicator,State Controlled Road Indicator
https://linked.data.gov.au/def/spatial-capture-method,Spatial capture method
https://linked.data.gov.au/def/subaddress-types,Sub-Address Types
https://linked.data.gov.au/def/surface-capture-method,Surface capture method
https://linked.data.gov.au/def/viewing-status,Viewing Status
